Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
4/14/25,Sell,SGUXX,SCHWAB GOVERNMENT MONEY ULTRA,"500,000",$1.00 ,,"$500,000.00 "
4/14/25,Sell to Open,CAT 04/17/2025 310.00 C,CALL CATERPILLAR INC $310 EXP 04/17/25,4,$0.94 ,$1.06 ,$374.94 
4/14/25,Sell to Open,ORCL 04/17/2025 135.00 C,CALL ORACLE CORP $135 EXP 04/17/25,2,$2.30 ,$0.54 ,$459.46 
4/14/25,Sell to Open,ORCL 04/17/2025 124.00 P,PUT ORACLE CORP $124 EXP 04/17/25,2,$0.35 ,$0.53 ,$69.47 
4/14/25,Sell to Open,ORCL 04/17/2025 140.00 C,CALL ORACLE CORP $140 EXP 04/17/25,2,$0.85 ,$0.53 ,$169.47 
4/14/25,Sell to Open,MCD 04/17/2025 300.00 P,PUT MCDONALDS CORP $300 EXP 04/17/25,2,$0.43 ,$0.53 ,$85.47 
4/14/25,Sell to Open,INTC 04/25/2025 24.50 C,CALL INTEL CORP $24.5 EXP 04/25/25,10,$0.25 ,$2.65 ,$247.35 
4/14/25,Sell to Open,CVX 04/17/2025 125.00 P,PUT CHEVRON CORP NEW $125 EXP 04/17/25,2,$0.38 ,$0.53 ,$75.47 
4/14/25,Sell to Open,CAT 04/17/2025 312.50 C,CALL CATERPILLAR INC $312.5 EXP 04/17/25,2,$0.91 ,$0.54 ,$181.46 
4/14/25,Sell to Open,AVGO 04/17/2025 165.00 P,PUT BROADCOM INC $165 EXP 04/17/25,2,$1.15 ,$0.54 ,$229.46 
4/14/25,Sell to Open,AMD 04/17/2025 85.00 P,PUT ADVANCED MICRO DEVIC$85 EXP 04/17/25,2,$0.44 ,$0.53 ,$87.47 
04/14/2025 as of 04/11/2025,Sell,DE,DEERE & CO,100,$445.00 ,$1.26 ,"$44,498.74 "
04/14/2025 as of 04/11/2025,Sell,AVGO,BROADCOM INC,200,$172.50 ,$0.99 ,"$34,499.01 "
04/14/2025 as of 04/11/2025,Buy,CAT,CATERPILLAR INC,200,$300.00 ,,"($60,000.00)"
04/14/2025 as of 04/11/2025,Buy,XOM,EXXON MOBIL CORP,300,$115.00 ,,"($34,500.00)"
04/14/2025 as of 04/11/2025,Buy,ORCL,ORACLE CORP,200,$135.00 ,,"($27,000.00)"
04/14/2025 as of 04/11/2025,Expired,AVGO 04/11/2025 115.00 P,PUT BROADCOM INC $115 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,ORCL 04/11/2025 162.50 C,CALL ORACLE CORP $162.5 EXP 04/11/25,3,,,
04/14/2025 as of 04/11/2025,Expired,NVDA 04/11/2025 102.00 P,PUT NVIDIA CORP $102 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,TOL 04/11/2025 90.00 P,PUT TOLL BROS INC $90 EXP 04/11/25,3,,,
04/14/2025 as of 04/11/2025,Expired,NVDA 04/11/2025 80.00 P,PUT NVIDIA CORP $80 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,HD 04/11/2025 290.00 P,PUT HOME DEPOT INC $290 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Expired,DE 04/11/2025 360.00 P,PUT DEERE & CO $360 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Expired,CVX 04/11/2025 135.00 P,PUT CHEVRON CORP NEW $135 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Expired,CVX 04/11/2025 120.00 P,PUT CHEVRON CORP NEW $120 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Expired,CAT 04/11/2025 250.00 P,PUT CATERPILLAR INC $250 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,ORCL 04/11/2025 100.00 P,PUT ORACLE CORP $100 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,MCD 04/11/2025 280.00 P,PUT MCDONALDS CORP $280 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,MCD 04/11/2025 295.00 P,PUT MCDONALDS CORP $295 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,DE 04/11/2025 430.00 P,PUT DEERE & CO $430 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Expired,DE 04/11/2025 415.00 P,PUT DEERE & CO $415 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Expired,AMD 04/11/2025 92.00 P,PUT ADVANCED MICRO DEVIC$92 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Expired,AAPL 04/11/2025 210.00 C,CALL APPLE INC $210 EXP 04/11/25,2,,,
