Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
4/22/25,Sell to Open,AAPL 04/25/2025 212.50 C,CALL APPLE INC $212.5 EXP 04/25/25,2,$0.43 ,$0.53 ,$85.47 
4/22/25,Sell to Open,WDAY 04/25/2025 225.00 C,CALL WORKDAY INC $225 EXP 04/25/25,2,$2.32 ,$0.54 ,$463.46 
4/22/25,Sell to Open,XLF 05/02/2025 49.00 C,CALL SPDR FINANCIAL $49 EXP 05/02/25,4,$0.20 ,$1.05 ,$78.95 
4/22/25,Sell to Open,XOM 05/02/2025 115.00 C,CALL EXXON MOBIL CORP $115 EXP 05/02/25,3,$0.51 ,$0.79 ,$152.21 
4/22/25,Sell to Open,INTC 05/02/2025 23.50 C,CALL INTEL CORP $23.5 EXP 05/02/25,10,$0.16 ,$2.64 ,$157.36 
4/22/25,Sell to Open,AVGO 04/25/2025 172.50 C,CALL BROADCOM INC $172.5 EXP 04/25/25,4,$2.50 ,$1.08 ,$998.92 
4/21/25,Sell to Open,MCD 05/02/2025 280.00 P,PUT MCDONALDS CORP $280 EXP 05/02/25,2,$1.06 ,$0.54 ,$211.46 
4/21/25,Sell to Open,GBTC 05/16/2025 75.00 C,CALL GRYSCL BITCOIN TRST$75 EXP 05/16/25,4,$1.60 ,$1.07 ,$638.93 
4/21/25,Sell to Open,CAT 04/25/2025 302.50 C,CALL CATERPILLAR INC $302.5 EXP 04/25/25,2,$0.72 ,$0.53 ,$143.47 
4/21/25,Sell to Open,AVGO 04/25/2025 147.00 P,PUT BROADCOM INC $147 EXP 04/25/25,2,$0.66 ,$0.53 ,$131.47 
4/21/25,Sell to Open,TOL 05/02/2025 86.00 P,PUT TOLL BROS INC $86 EXP 05/02/25,1,$1.10 ,$0.26 ,$109.74 
4/21/25,Sell to Open,ORCL 04/25/2025 135.00 C,CALL ORACLE CORP $135 EXP 04/25/25,4,$0.32 ,$1.05 ,$126.95 
4/21/25,Sell to Open,NVDA 04/25/2025 90.00 P,PUT NVIDIA CORP $90 EXP 04/25/25,2,$0.82 ,$0.53 ,$163.47 
4/21/25,Sell to Open,AAPL 04/25/2025 180.00 P,PUT APPLE INC $180 EXP 04/25/25,2,$0.90 ,$0.54 ,$179.46 
