Posted_Date,Transaction_Date,Action,Ticker,Expiry,Strike,Option_Type,Type,Quantity,Price,Fees & Com,Amount,Status,Protective Puts
04/22/2025,04/22/2025,Sell to Open,AAPL,04/25/2025,212.5,Call,Call Sell,2.0,0.43,0.53,85.47,Close,No
04/22/2025,04/22/2025,Sell to Open,WDAY,04/25/2025,225.0,Call,Call Sell,2.0,2.32,0.54,463.46,Open,No
04/22/2025,04/22/2025,Sell to Open,XLF,05/02/2025,49.0,Call,Call Sell,4.0,0.2,1.05,78.95,Open,No
04/22/2025,04/22/2025,Sell to Open,XOM,05/02/2025,115.0,Call,Call Sell,3.0,0.51,0.79,152.21,Open,No
04/22/2025,04/22/2025,Sell to Open,INTC,05/02/2025,23.5,Call,Call Sell,10.0,0.16,2.64,157.36,Open,No
04/22/2025,04/22/2025,Sell to Open,AVGO,04/25/2025,172.5,Call,Call Sell,4.0,2.5,1.08,998.92,Close,No
04/21/2025,04/21/2025,Sell to Open,MCD,05/02/2025,280.0,Put,Put Sell,2.0,1.06,0.54,211.46,Open,No
04/21/2025,04/21/2025,Sell to Open,GBTC,05/16/2025,75.0,Call,Call Sell,4.0,1.6,1.07,638.93,Open,No
04/21/2025,04/21/2025,Sell to Open,CAT,04/25/2025,302.5,Call,Call Sell,2.0,0.72,0.53,143.47,Open,No
04/21/2025,04/21/2025,Sell to Open,AVGO,04/25/2025,147.0,Put,Put Sell,2.0,0.66,0.53,131.47,Open,No
04/21/2025,04/21/2025,Sell to Open,TOL,05/02/2025,86.0,Put,Put Sell,1.0,1.1,0.26,109.74,Open,No
04/21/2025,04/21/2025,Sell to Open,ORCL,04/25/2025,135.0,Call,Call Sell,4.0,0.32,1.05,126.95,Open,No
04/21/2025,04/21/2025,Sell to Open,NVDA,04/25/2025,90.0,Put,Put Sell,2.0,0.82,0.53,163.47,Open,No
04/21/2025,04/21/2025,Sell to Open,AAPL,04/25/2025,180.0,Put,Put Sell,2.0,0.9,0.54,179.46,Open,No
04/21/2025,04/17/2025,Expired,DE,04/17/2025,372.5,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,TOL,04/17/2025,86.0,Put,Expired,3.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,ORCL,04/17/2025,124.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,NVDA,04/17/2025,84.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,AVGO,04/17/2025,139.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,XOM,04/17/2025,116.0,Call,Expired,3.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,XLF,04/17/2025,52.5,Call,Expired,4.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,INTC,04/17/2025,23.5,Call,Expired,10.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,CAT,04/17/2025,312.5,Call,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,AVGO,04/17/2025,187.5,Call,Expired,4.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,AAPL,04/17/2025,212.5,Call,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,WDAY,04/17/2025,240.0,Call,Expired,4.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,GBTC,04/17/2025,72.0,Call,Expired,4.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,CMI,04/17/2025,280.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,HD,04/17/2025,265.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,HD,04/17/2025,315.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,MCD,04/17/2025,300.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,MCD,04/17/2025,290.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,CAT,04/17/2025,310.0,Call,Expired,4.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,CVX,04/17/2025,125.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,ORCL,04/17/2025,115.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,ORCL,04/17/2025,140.0,Call,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,ORCL,04/17/2025,135.0,Call,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,VDE,04/17/2025,110.0,Put,Expired,-2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,NVDA,04/17/2025,95.0,Put,Expired,5.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,AMD,04/17/2025,75.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/21/2025,04/17/2025,Expired,EXPE,04/17/2025,170.0,Call,Expired,2.0,0.0,0.0,0.0,Close,No
