Posted_Date,Transaction_Date,Action,Ticker,Expiry,Strike,Option_Type,Type,Quantity,Price,Fees & Com,Amount,Status,Protective Puts
04/14/2025,04/14/2025,Sell to Open,CAT,04/17/2025,310.0,Call,Call Sell,4.0,0.94,1.06,374.94,Close,No
04/14/2025,04/14/2025,Sell to Open,ORCL,04/17/2025,135.0,Call,Call Sell,2.0,2.3,0.54,459.46,Close,No
04/14/2025,04/14/2025,Sell to Open,ORCL,04/17/2025,124.0,Put,Put Sell,2.0,0.35,0.53,69.47,Close,No
04/14/2025,04/14/2025,Sell to Open,ORCL,04/17/2025,140.0,Call,Call Sell,2.0,0.85,0.53,169.47,Close,No
04/14/2025,04/14/2025,Sell to Open,MCD,04/17/2025,300.0,Put,Put Sell,2.0,0.43,0.53,85.47,Close,No
04/14/2025,04/14/2025,Sell to Open,INTC,04/25/2025,24.5,Call,Call Sell,10.0,0.25,2.65,247.35,Open,No
04/14/2025,04/14/2025,Sell to Open,CVX,04/17/2025,125.0,Put,Put Sell,2.0,0.38,0.53,75.47,Close,No
04/14/2025,04/14/2025,Sell to Open,CAT,04/17/2025,312.5,Call,Call Sell,2.0,0.91,0.54,181.46,Close,No
04/14/2025,04/14/2025,Sell to Open,AVGO,04/17/2025,165.0,Put,Put Sell,2.0,1.15,0.54,229.46,Close,No
04/14/2025,04/14/2025,Sell to Open,AMD,04/17/2025,85.0,Put,Put Sell,2.0,0.44,0.53,87.47,Close,No
04/14/2025,04/11/2025,Sell,DE,,0.0,,Stock Sell,100.0,445.0,1.26,44498.74,Close,No
04/14/2025,04/11/2025,Sell,AVGO,,0.0,,Stock Sell,200.0,172.5,0.99,34499.01,Close,No
04/14/2025,04/11/2025,Buy,CAT,,0.0,,Stock Buy,200.0,300.0,0.0,-60000.0,Open,No
04/14/2025,04/11/2025,Buy,XOM,,0.0,,Stock Buy,300.0,115.0,0.0,-34500.0,Open,No
04/14/2025,04/11/2025,Buy,ORCL,,0.0,,Stock Buy,200.0,135.0,0.0,-27000.0,Open,No
04/14/2025,04/11/2025,Expired,AVGO,04/11/2025,115.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,ORCL,04/11/2025,162.5,Call,Expired,3.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,NVDA,04/11/2025,102.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,TOL,04/11/2025,90.0,Put,Expired,3.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,NVDA,04/11/2025,80.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,HD,04/11/2025,290.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,DE,04/11/2025,360.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,CVX,04/11/2025,135.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,CVX,04/11/2025,120.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,CAT,04/11/2025,250.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,ORCL,04/11/2025,100.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,MCD,04/11/2025,280.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,MCD,04/11/2025,295.0,Put,Expired,2.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,DE,04/11/2025,430.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
04/14/2025,04/11/2025,Expired,DE,04/11/2025,415.0,Put,Expired,1.0,0.0,0.0,0.0,Close,No
