Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
3/31/2025,Qualified Dividend,AVGO,BROADCOM INC,,,,$295.00 
03/31/2025 as of 03/28/2025,Expired,MCD 03/28/2025 287.50 P,PUT MCDONALDS CORP $287.5 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,EXPE 03/28/2025 172.50 C,CALL EXPEDIA GROUP INC $172.5 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,AAPL 03/28/2025 227.50 C,CALL APPLE INC $227.5 EXP 03/28/25,3,,,
03/31/2025 as of 03/28/2025,Buy,INTC,INTEL CORP,"1,000",$23.50 ,,"($23,500.00)"
03/31/2025 as of 03/28/2025,Buy,AVGO,BROADCOM INC,200,$170.00 ,,"($34,000.00)"
03/31/2025 as of 03/28/2025,Expired,NVDA 03/28/2025 105.00 P,PUT NVIDIA CORP $105 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,HD 03/28/2025 335.00 P,PUT HOME DEPOT INC $335 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,COST 03/28/2025 860.00 P,PUT COSTCO WHSL CORP NEW$860 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,COST 03/28/2025 840.00 P,PUT COSTCO WHSL CORP NEW$840 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,COST 03/28/2025 800.00 P,PUT COSTCO WHSL CORP NEW$800 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,WDAY 03/28/2025 260.00 C,CALL WORKDAY INC $260 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,ORCL 03/28/2025 165.00 C,CALL ORACLE CORP $165 EXP 03/28/25,6,,,
03/31/2025 as of 03/28/2025,Expired,ORCL 03/28/2025 140.00 P,PUT ORACLE CORP $140 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,INTC 03/28/2025 24.00 C,CALL INTEL CORP $24 EXP 03/28/25,25,,,
03/31/2025 as of 03/28/2025,Expired,HD 03/28/2025 395.00 C,CALL HOME DEPOT INC $395 EXP 03/28/25,3,,,
03/31/2025 as of 03/28/2025,Expired,EXPE 03/28/2025 150.00 P,PUT EXPEDIA GROUP INC $150 EXP 03/28/25,-2,,,
03/31/2025 as of 03/28/2025,Expired,DE 03/28/2025 405.00 P,PUT DEERE & CO $405 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,CAT 03/28/2025 320.00 P,PUT CATERPILLAR INC $320 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Assigned,INTC 03/28/2025 23.50 P,PUT INTEL CORP $23.5 EXP 03/28/25,10,,,
03/31/2025 as of 03/28/2025,Assigned,AVGO 03/28/2025 170.00 P,PUT BROADCOM INC $170 EXP 03/28/25,2,,,
3/28/2025,Credit Interest,,SCHWAB1 INT 02/27-03/27,,,,$11.33 
3/28/2025,Margin Interest,,INTEREST 02/27THRU 03/27,,,,($233.95)
3/28/2025,Sell to Open,WDAY 04/04/2025 220.00 P,PUT WORKDAY INC $220 EXP 04/04/25,2,$0.60 ,$0.53 ,$119.47 
3/28/2025,Buy to Close,WDAY 03/28/2025 237.50 P,PUT WORKDAY INC $237.5 EXP 03/28/25,2,$1.35 ,$0.52 ,($270.52)
3/28/2025,Sell to Open,MCD 04/11/2025 295.00 P,PUT MCDONALDS CORP $295 EXP 04/11/25,2,$0.95 ,$0.54 ,$189.46 
3/28/2025,Sell to Open,CAT 04/04/2025 310.00 P,PUT CATERPILLAR INC $310 EXP 04/04/25,2,$0.98 ,$0.54 ,$195.46 
3/27/2025,Qualified Dividend,HD,HOME DEPOT INC,,,,$690.00 
3/27/2025,Cash Dividend,VFMO,VANGUARD US MOMENTUM FACTOR ETF,,,,$31.18 
3/27/2025,Cash Dividend,VDE,VANGUARD ENERGY ETF,,,,$189.74 
3/26/2025,Buy to Close,AVGO 03/28/2025 225.00 C,CALL BROADCOM INC $225 EXP 03/28/25,5,$0.01 ,$0.05 ,($5.05)
3/26/2025,Sell to Open,AAPL 04/04/2025 210.00 P,PUT APPLE INC $210 EXP 04/04/25,2,$0.91 ,$0.54 ,$181.46 
