"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"04/11/2025","Sell to Open","QQQ 04/17/2025 380.00 P","PUT INVESCO QQQ TR $380 EXP 04/17/25","3","$1.19","$0.80","$356.20"
"04/11/2025","Sell to Open","TSLA 04/17/2025 150.00 P","PUT TESLA INC $150 EXP 04/17/25","2","$0.58","$0.53","$115.47"
"04/11/2025","Sell to Open","WMT 04/17/2025 82.00 P","PUT WALMART INC $82 EXP 04/17/25","2","$0.46","$0.53","$91.47"
"04/11/2025","Buy to Close","WMT 04/11/2025 80.00 P","PUT WALMART INC $80 EXP 04/11/25","1","$0.01","$0.01","-$1.01"
"04/11/2025","Buy to Close","WFC 04/11/2025 72.00 C","CALL WELLS FARGO & CO $72 EXP 04/11/25","4","$0.01","$0.04","-$4.04"
"04/11/2025","Sell to Open","QCOM 04/17/2025 116.00 P","PUT QUALCOMM INC $116 EXP 04/17/25","2","$1.03","$0.54","$205.46"
"04/11/2025","Sell to Open","MSFT 04/17/2025 340.00 P","PUT MICROSOFT CORP $340 EXP 04/17/25","2","$1.60","$0.54","$319.46"
"04/11/2025","Sell","MSFT","MICROSOFT CORP","600","$380.00","$6.44","$227993.56"
"04/11/2025","Buy to Close","MSFT 04/11/2025 310.00 P","PUT MICROSOFT CORP $310 EXP 04/11/25","2","$0.01","$0.02","-$2.02"
"04/11/2025","Buy to Close","MSFT 04/11/2025 290.00 P","PUT MICROSOFT CORP $290 EXP 04/11/25","1","$0.01","$0.01","-$1.01"
"04/11/2025","Buy to Close","MSFT 04/11/2025 390.00 C","CALL MICROSOFT CORP $390 EXP 04/11/25","3","$0.30","$0.78","-$90.78"
"04/11/2025","Sell to Open","META 04/17/2025 415.00 P","PUT META PLATFORMS INC $415 EXP 04/17/25","2","$0.99","$0.54","$197.46"
"04/11/2025","Sell to Open","GS 04/17/2025 370.00 P","PUT GOLDMAN SACHS GROUP $370 EXP 04/17/25","2","$1.15","$0.54","$229.46"
"04/11/2025","Sell to Open","GOOGL 04/17/2025 133.00 P","PUT ALPHABET INC $133 EXP 04/17/25","2","$0.43","$0.53","$85.47"
"04/11/2025","Sell to Open","SPY 04/14/2025 445.00 P","PUT SPDR S&P ...500 $445 EXP 04/14/25","2","$0.38","$0.53","$75.47"
"04/11/2025","Sell to Open","BLK 04/17/2025 700.00 P","PUT BLACKROCK INC NEW $700 EXP 04/17/25","1","$1.97","$0.27","$196.73"
"04/11/2025","Sell to Open","AMZN 04/17/2025 140.00 P","PUT AMAZON.COM INC $140 EXP 04/17/25","2","$0.39","$0.53","$77.47"
"04/11/2025","Sell to Open","ADP 04/17/2025 260.00 P","PUT AUTOMATIC DATA PROCE$260 EXP 04/17/25","1","$0.80","$0.26","$79.74"
"04/11/2025","Sell to Open","BLK 04/17/2025 925.00 C","CALL BLACKROCK INC NEW $925 EXP 04/17/25","3","$4.20","$0.83","$1259.17"
"04/11/2025","Buy to Close","SPY 04/11/2025 430.00 P","PUT SPDR S&P ...500 $430 EXP 04/11/25","2","$0.01","$0.02","-$2.02"
"04/11/2025","Buy to Close","SPY 04/11/2025 400.00 P","PUT SPDR S&P ...500 $400 EXP 04/11/25","2","$0.01","$0.02","-$2.02"
"04/10/2025","Sell to Open","SPY 04/17/2025 550.00 C","CALL SPDR S&P ...500 $550 EXP 04/17/25","3","$3.34","$0.82","$1001.18"
"04/10/2025","Buy to Close","QQQ 04/11/2025 350.00 P","PUT INVESCO QQQ TR $350 EXP 04/11/25","2","$0.02","$0.02","-$4.02"
"04/10/2025","Sell to Open","TSLA 04/17/2025 175.00 P","PUT TESLA INC $175 EXP 04/17/25","2","$1.17","$0.54","$233.46"
"04/10/2025","Buy to Close","QQQ 04/11/2025 325.00 P","PUT INVESCO QQQ TR $325 EXP 04/11/25","2","$0.01","$0.02","-$2.02"
"04/10/2025","Sell to Open","FTNT 04/17/2025 80.00 P","PUT FORTINET INC $80 EXP 04/17/25","2","$0.35","$0.53","$69.47"
"04/10/2025","Sell to Open","CRM 04/17/2025 215.00 P","PUT SALESFORCE INC $215 EXP 04/17/25","1","$0.68","$0.26","$67.74"
"04/10/2025","Sell to Open","MSFT 04/17/2025 327.50 P","PUT MICROSOFT CORP $327.5 EXP 04/17/25","1","$0.83","$0.26","$82.74"
"04/10/2025","Sell to Open","META 04/17/2025 450.00 P","PUT META PLATFORMS INC $450 EXP 04/17/25","1","$1.43","$0.26","$142.74"
"04/10/2025","Sell to Open","AXP 04/17/2025 197.50 P","PUT AMERICAN EXPRESS CO $197.5 EXP 04/17/25","2","$1.01","$0.54","$201.46"
"04/10/2025","Sell to Open","ISRG 04/17/2025 410.00 P","PUT INTUITIVE SURGICAL I$410 EXP 04/17/25","1","$1.49","$0.26","$148.74"
"04/10/2025","Sell to Open","GS 04/17/2025 392.50 P","PUT GOLDMAN SACHS GROUP $392.5 EXP 04/17/25","1","$1.57","$0.26","$156.74"
"04/10/2025","Sell to Open","AMZN 04/17/2025 155.00 P","PUT AMAZON.COM INC $155 EXP 04/17/25","2","$0.54","$0.53","$107.47"
"04/10/2025","Sell to Open","SPY 04/11/2025 479.00 P","PUT SPDR S&P ...500 $479 EXP 04/11/25","1","$0.31","$0.26","$30.74"
"04/10/2025","Sell to Close","SPY 04/17/2025 600.00 P","PUT SPDR S&P ...500 $600 EXP 04/17/25","10","$71.00","$4.61","$70995.39"
"04/09/2025","Buy to Close","META 04/11/2025 630.00 C","CALL META PLATFORMS INC $630 EXP 04/11/25","2","$1.20","$0.52","-$240.52"
"04/09/2025","Sell to Open","ISRG 04/11/2025 480.00 P","PUT INTUITIVE SURGICAL I$480 EXP 04/11/25","1","$1.67","$0.26","$166.74"
"04/09/2025","Buy to Close","META 04/11/2025 340.00 P","PUT META PLATFORMS INC $340 EXP 04/11/25","2","$0.02","$0.02","-$4.02"
"04/09/2025","Buy to Close","META 04/11/2025 360.00 P","PUT META PLATFORMS INC $360 EXP 04/11/25","1","$0.02","$0.01","-$2.01"
"04/09/2025","Buy to Close","META 04/11/2025 390.00 P","PUT META PLATFORMS INC $390 EXP 04/11/25","2","$0.03","$0.02","-$6.02"
"04/09/2025","Buy to Close","BLK 04/11/2025 920.00 C","CALL BLACKROCK INC NEW $920 EXP 04/11/25","2","$5.00","$0.52","-$1000.52"
"04/09/2025","Sell to Open","BLK 04/11/2025 920.00 C","CALL BLACKROCK INC NEW $920 EXP 04/11/25","2","$5.50","$0.56","$1099.44"
"04/09/2025","Buy to Close","TSLA 04/11/2025 130.00 P","PUT TESLA INC $130 EXP 04/11/25","2","$0.05","$0.02","-$10.02"
"04/09/2025","Buy to Close","COST 04/17/2025 660.00 P","PUT COSTCO WHSL CORP NEW$660 EXP 04/17/25","1","$0.75","$0.26","-$75.26"
"04/09/2025","Sell to Open","CRM 04/17/2025 270.00 C","CALL SALESFORCE INC $270 EXP 04/17/25","4","$1.63","$1.07","$650.93"
"04/09/2025","Buy to Close","COST 04/11/2025 815.00 P","PUT COSTCO WHSL CORP NEW$815 EXP 04/11/25","1","$1.60","$0.26","-$160.26"
"04/09/2025","Buy to Close","COST 04/11/2025 730.00 P","PUT COSTCO WHSL CORP NEW$730 EXP 04/11/25","1","$0.55","$0.26","-$55.26"
"04/09/2025","Sell to Open","ISRG 04/17/2025 515.00 C","CALL INTUITIVE SURGICAL $515 EXP 04/17/25","2","$1.95","$0.54","$389.46"
"04/09/2025","Sell to Open","TSLA 04/11/2025 240.00 C","CALL TESLA INC $240 EXP 04/11/25","3","$5.65","$0.84","$1694.16"
"04/09/2025","Sell to Open","AMZN 04/17/2025 190.00 C","CALL AMAZON.COM INC $190 EXP 04/17/25","4","$1.60","$1.07","$638.93"
"04/09/2025","Buy to Close","META 04/11/2025 580.00 C","CALL META PLATFORMS INC $580 EXP 04/11/25","5","$0.50","$1.30","-$251.30"
"04/09/2025","Sell to Open","META 04/17/2025 570.00 C","CALL META PLATFORMS INC $570 EXP 04/17/25","10","$3.90","$2.75","$3897.25"
"04/09/2025","Sell to Open","GOOGL 04/17/2025 157.50 C","CALL ALPHABET INC $157.5 EXP 04/17/25","5","$1.25","$1.33","$623.67"
"04/09/2025","Buy to Close","GOOGL 04/11/2025 162.50 C","CALL ALPHABET INC $162.5 EXP 04/11/25","5","$0.09","$1.30","-$46.30"
"04/08/2025","Sell to Open","WMT 04/11/2025 80.00 P","PUT WALMART INC $80 EXP 04/11/25","1","$0.61","$0.26","$60.74"
"04/08/2025","Sell to Open","TSLA 04/17/2025 200.00 P","PUT TESLA INC $200 EXP 04/17/25","2","$2.34","$0.54","$467.46"
"04/08/2025","Sell to Open","TEAM 04/11/2025 175.00 P","PUT ATLASSIAN CORP $175 EXP 04/11/25","1","$1.77","$0.26","$176.74"
"04/08/2025","Sell to Open","CRM 04/11/2025 230.00 P","PUT SALESFORCE INC $230 EXP 04/11/25","1","$0.63","$0.26","$62.74"
"04/08/2025","Sell to Open","ADBE 04/17/2025 305.00 P","PUT ADOBE INC $305 EXP 04/17/25","1","$1.06","$0.26","$105.74"
"04/08/2025","Sell to Open","SPY 04/11/2025 480.00 P","PUT SPDR S&P ...500 $480 EXP 04/11/25","1","$1.36","$0.26","$135.74"
"04/08/2025","Sell to Open","META 04/11/2025 500.00 P","PUT META PLATFORMS INC $500 EXP 04/11/25","1","$3.40","$0.27","$339.73"
"04/08/2025","Sell to Open","MSFT 04/11/2025 350.00 P","PUT MICROSOFT CORP $350 EXP 04/11/25","1","$1.31","$0.26","$130.74"
"04/08/2025","Sell to Open","ISRG 04/11/2025 445.00 P","PUT INTUITIVE SURGICAL I$445 EXP 04/11/25","2","$2.05","$0.54","$409.46"
"04/08/2025","Sell to Open","QQQ 04/11/2025 415.00 P","PUT INVESCO QQQ TR $415 EXP 04/11/25","1","$3.23","$0.27","$322.73"
"04/08/2025 as of 04/07/2025","Expired","QQQ 04/07/2025 488.00 C","CALL INVESCO QQQ TR $488 EXP 04/07/25","3","","",""
"04/07/2025","Sell to Open","SPY 04/11/2025 540.00 C","CALL SPDR S&P ...500 $540 EXP 04/11/25","2","$1.50","$0.54","$299.46"
"04/07/2025","Sell to Open","SPY 04/11/2025 400.00 P","PUT SPDR S&P ...500 $400 EXP 04/11/25","2","$0.83","$0.53","$165.47"
