Posted_Date,Transaction_Date,Action,Ticker,Expiry,Option_Type,Strike,Type,Status,Quantity,Price,Amount,Fees & Com,Total_Amount
03/31/2025,03/31/2025,Qualified Dividend,AVGO,,,0.0,Dividend,Qualified Dividend,0.0,0.0,295.0,0.0,295.0
03/31/2025,03/28/2025,Expired,MCD,03/28/2025,Put,287.5,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,EXPE,03/28/2025,Call,172.5,Call Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,AAPL,03/28/2025,Call,227.5,Call Expired,Closed,3.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Buy,INTC,,,0.0,Stock Buy,Stock Trade,1000.0,23.5,-23500.0,0.0,-23500.0
03/31/2025,03/28/2025,Buy,AVGO,,,0.0,Stock Buy,Stock Trade,200.0,170.0,-34000.0,0.0,-34000.0
03/31/2025,03/28/2025,Expired,NVDA,03/28/2025,Put,105.0,Put Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,HD,03/28/2025,Put,335.0,Put Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,COST,03/28/2025,Put,860.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,COST,03/28/2025,Put,840.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,COST,03/28/2025,Put,800.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,WDAY,03/28/2025,Call,260.0,Call Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,ORCL,03/28/2025,Call,165.0,Call Expired,Closed,6.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,ORCL,03/28/2025,Put,140.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,INTC,03/28/2025,Call,24.0,Call Expired,Closed,25.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,HD,03/28/2025,Call,395.0,Call Expired,Closed,3.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,EXPE,03/28/2025,Put,150.0,Put Expired,Closed,-2.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,DE,03/28/2025,Put,405.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Expired,CAT,03/28/2025,Put,320.0,Put Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Assigned,INTC,03/28/2025,Put,23.5,Put Assigned,Closed,10.0,0.0,0.0,0.0,0.0
03/31/2025,03/28/2025,Assigned,AVGO,03/28/2025,Put,170.0,Put Assigned,Closed,2.0,0.0,0.0,0.0,0.0
03/28/2025,03/28/2025,Credit Interest,,,,0.0,Interest,Credit Interest,0.0,0.0,11.33,0.0,11.33
03/28/2025,03/28/2025,Margin Interest,,,,0.0,Interest,Margin Interest,0.0,0.0,-233.95,0.0,-233.95
03/28/2025,03/28/2025,Sell to Open,WDAY,04/04/2025,Put,220.0,Put Sell,Open,2.0,0.6,119.47,0.53,118.94
03/28/2025,03/28/2025,Buy to Close,WDAY,03/28/2025,Put,237.5,Put Buy,Closed,2.0,1.35,-270.52,0.52,-271.04
03/28/2025,03/28/2025,Sell to Open,MCD,04/11/2025,Put,295.0,Put Sell,Open,2.0,0.95,189.46,0.54,188.92
03/28/2025,03/28/2025,Sell to Open,CAT,04/04/2025,Put,310.0,Put Sell,Open,2.0,0.98,195.46,0.54,194.92
03/27/2025,03/27/2025,Qualified Dividend,HD,,,0.0,Dividend,Qualified Dividend,0.0,0.0,690.0,0.0,690.0
03/27/2025,03/27/2025,Cash Dividend,VFMO,,,0.0,Dividend,Cash Dividend,0.0,0.0,31.18,0.0,31.18
03/27/2025,03/27/2025,Cash Dividend,VDE,,,0.0,Dividend,Cash Dividend,0.0,0.0,189.74,0.0,189.74
03/26/2025,03/26/2025,Buy to Close,AVGO,03/28/2025,Call,225.0,Call Buy,Closed,5.0,0.01,-5.05,0.05,-5.1
03/26/2025,03/26/2025,Sell to Open,AAPL,04/04/2025,Put,210.0,Put Sell,Open,2.0,0.91,181.46,0.54,180.92
03/26/2025,03/26/2025,Sell to Open,CAT,04/04/2025,Put,320.0,Put Sell,Open,2.0,1.04,207.46,0.54,206.92
03/26/2025,03/26/2025,Sell to Open,AVGO,04/04/2025,Put,160.0,Put Sell,Open,2.0,0.83,165.47,0.53,164.94
03/26/2025,03/26/2025,Sell to Open,ORCL,04/04/2025,Put,135.0,Put Sell,Open,2.0,0.64,127.47,0.53,126.94
03/26/2025,03/26/2025,Sell to Open,WDAY,04/04/2025,Put,237.5,Put Sell,Open,2.0,1.05,209.46,0.54,208.92
03/26/2025,03/26/2025,Sell to Open,NVDA,04/04/2025,Put,108.0,Put Sell,Open,2.0,0.91,181.46,0.54,180.92
03/26/2025,03/26/2025,Sell to Open,HD,04/04/2025,Put,340.0,Put Sell,Open,2.0,0.6,119.47,0.53,118.94
03/26/2025,03/26/2025,Cash Dividend,XLF,,,0.0,Dividend,Cash Dividend,0.0,0.0,73.3,0.0,73.3
03/25/2025,03/25/2025,Sell to Open,AVGO,04/04/2025,Put,175.0,Put Sell,Open,2.0,1.19,237.46,0.54,236.92
03/25/2025,03/25/2025,Buy to Close,AAPL,03/28/2025,Call,230.0,Call Buy,Closed,1.0,0.23,-23.26,0.26,-23.52
03/25/2025,03/25/2025,Sell to Open,XOM,04/04/2025,Put,115.0,Put Sell,Open,3.0,0.91,272.2,0.8,271.4
03/24/2025,03/21/2025,Expired,NVDA,03/21/2025,Call,131.0,Call Expired,Closed,5.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Expired,RF,03/21/2025,Put,21.0,Put Expired,Closed,3.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Expired,HD,03/21/2025,Put,335.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Expired,CMI,03/21/2025,Put,320.0,Put Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Expired,MCD,03/21/2025,Put,295.0,Put Expired,Closed,1.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Expired,VGT,03/21/2025,Put,550.0,Put Expired,Closed,3.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Expired,CAT,03/21/2025,Put,320.0,Put Expired,Closed,2.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Exchange or Exercise,TOL,03/21/2025,Put,135.0,Put Exchange or Exercise,Closed,-3.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Exchange or Exercise,TOL,03/21/2025,Put,130.0,Put Exchange or Exercise,Closed,-5.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Exchange or Exercise,TOL,03/21/2025,Put,120.0,Put Exchange or Exercise,Closed,-1.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Assigned,XOM,03/21/2025,Call,115.0,Call Assigned,Closed,3.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Exchange or Exercise,NVDA,03/21/2025,Put,140.0,Put Exchange or Exercise,Closed,-40.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Assigned,GBTC,03/21/2025,Put,68.0,Put Assigned,Closed,2.0,0.0,0.0,0.0,0.0
03/24/2025,03/21/2025,Sell,TOL,,,0.0,Stock Sell,Stock Trade,300.0,135.0,40498.82,1.18,40497.64
03/24/2025,03/21/2025,Sell,TOL,,,0.0,Stock Sell,Stock Trade,500.0,130.0,64998.11,1.89,64996.22
03/24/2025,03/21/2025,Sell,TOL,,,0.0,Stock Sell,Stock Trade,100.0,120.0,11999.65,0.35,11999.3
03/24/2025,03/21/2025,Sell,XOM,,,0.0,Stock Sell,Stock Trade,300.0,115.0,34498.99,1.01,34497.98
03/24/2025,03/21/2025,Sell,NVDA,,,0.0,Stock Sell,Stock Trade,4000.0,140.0,559983.77,16.23,559967.54
03/24/2025,03/21/2025,Buy,GBTC,,,0.0,Stock Buy,Stock Trade,200.0,68.0,-13600.0,0.0,-13600.0
03/21/2025,03/21/2025,Cash Dividend,IYF,,,0.0,Dividend,Cash Dividend,0.0,0.0,37.05,0.0,37.05
03/21/2025,03/20/2025,Assigned,AAPL,04/17/2025,Put,250.0,Put Assigned,Open,9.0,0.0,0.0,0.0,0.0
03/21/2025,03/20/2025,Buy,AAPL,,,0.0,Stock Buy,Stock Trade,900.0,250.0,-225000.0,0.0,-225000.0
03/20/2025,03/20/2025,Sell to Open,HD,03/28/2025,Put,335.0,Put Sell,Closed,2.0,0.54,107.47,0.53,106.94
03/20/2025,03/20/2025,Sell to Open,COST,03/28/2025,Put,860.0,Put Sell,Closed,1.0,2.66,265.73,0.27,265.46
03/20/2025,03/20/2025,Sell to Open,CAT,03/28/2025,Put,320.0,Put Sell,Closed,2.0,1.07,213.46,0.54,212.92
03/20/2025,03/20/2025,Buy to Close,WDAY,03/28/2025,Call,265.0,Call Buy,Closed,2.0,0.53,-106.52,0.52,-107.04
03/20/2025,03/19/2025,Assigned,IYF,03/21/2025,Put,116.0,Put Assigned,Closed,1.0,0.0,0.0,0.0,0.0
