Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
3/26/25,Sell to Open,QQQ 03/28/2025 480.00 P,PUT INVESCO QQQ TR $480 EXP 03/28/25,1,$0.88 ,$0.26 ,$87.74 
3/25/25,Sell to Open,QQQ 03/28/2025 485.00 P,PUT INVESCO QQQ TR $485 EXP 03/28/25,2,$1.42 ,$0.54 ,$283.46 
03/24/2025 as of 03/21/2025,Expired,QQQ 03/21/2025 455.00 P,PUT INVESCO QQQ TR $455 EXP 03/21/25,2,,,
3/20/25,Sell to Open,QQQ 03/28/2025 450.00 P,PUT INVESCO QQQ TR $450 EXP 03/28/25,2,$0.80 ,$0.53 ,$159.47 
3/18/25,Sell to Open,QQQ 03/28/2025 440.00 P,PUT INVESCO QQQ TR $440 EXP 03/28/25,2,$0.86 ,$0.53 ,$171.47 
3/17/25,Sell to Open,QQQ 03/21/2025 455.00 P,PUT INVESCO QQQ TR $455 EXP 03/21/25,2,$0.56 ,$0.53 ,$111.47 
3/14/25,Buy to Close,QQQ 03/14/2025 460.00 P,PUT INVESCO QQQ TR $460 EXP 03/14/25,4,$0.02 ,$0.04 ,($8.04)
3/14/25,Buy to Close,QQQ 03/14/2025 450.00 P,PUT INVESCO QQQ TR $450 EXP 03/14/25,3,$0.01 ,$0.03 ,($3.03)
3/12/25,Sell to Open,QQQ 03/28/2025 528.00 C,CALL INVESCO QQQ TR $528 EXP 03/28/25,13,$0.18 ,$3.44 ,$230.56 
3/10/25,Sell to Open,QQQ 03/14/2025 460.00 P,PUT INVESCO QQQ TR $460 EXP 03/14/25,4,$2.88 ,$1.08 ,"$1,150.92 "
03/10/2025 as of 03/07/2025,Expired,QQQ 03/07/2025 485.00 P,PUT INVESCO QQQ TR $485 EXP 03/07/25,5,,,
03/10/2025 as of 03/07/2025,Expired,QQQ 03/07/2025 528.00 C,CALL INVESCO QQQ TR $528 EXP 03/07/25,13,,,
3/6/25,Sell to Open,QQQ 03/14/2025 450.00 P,PUT INVESCO QQQ TR $450 EXP 03/14/25,3,$0.74 ,$0.80 ,$221.20 
3/3/25,Sell to Open,QQQ 03/07/2025 528.00 C,CALL INVESCO QQQ TR $528 EXP 03/07/25,5,$0.72 ,$1.32 ,$358.68 
03/03/2025 as of 02/28/2025,Expired,QQQ 02/28/2025 534.00 C,CALL INVESCO QQQ TR $534 EXP 02/28/25,8,,,
